"","INTERVALSTARTTIME_GMT","INTERVALENDTIME_GMT","LOAD_TYPE","OPR_DT","OPR_HR","OPR_INTERVAL","MARKET_RUN_ID","TAC_AREA_NAME","LABEL","XML_DATA_ITEM","POS","MW","EXECUTION_TYPE","GROUP"
"100","2019-04-23T10:00:00-00:00","2019-04-23T11:00:00-00:00",0,"2019-04-23",4,0,"ACTUAL","IPCO","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,1308,"ACTUAL",5
"101","2019-04-23T08:00:00-00:00","2019-04-23T09:00:00-00:00",0,"2019-04-23",2,0,"ACTUAL","IPCO","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,1270,"ACTUAL",5
"102","2019-04-23T23:00:00-00:00","2019-04-24T00:00:00-00:00",0,"2019-04-23",17,0,"ACTUAL","IPCO","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,1769,"ACTUAL",5
"103","2019-04-23T15:00:00-00:00","2019-04-23T16:00:00-00:00",0,"2019-04-23",9,0,"ACTUAL","IPCO","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,1698,"ACTUAL",5
"104","2019-04-24T06:00:00-00:00","2019-04-24T07:00:00-00:00",0,"2019-04-23",24,0,"ACTUAL","IPCO","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,1398,"ACTUAL",5
"105","2019-04-23T20:00:00-00:00","2019-04-23T21:00:00-00:00",0,"2019-04-23",14,0,"ACTUAL","IPCO","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,1723,"ACTUAL",5
"106","2019-04-23T17:00:00-00:00","2019-04-23T18:00:00-00:00",0,"2019-04-23",11,0,"ACTUAL","IPCO","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,1697,"ACTUAL",5
"107","2019-04-23T13:00:00-00:00","2019-04-23T14:00:00-00:00",0,"2019-04-23",7,0,"ACTUAL","IPCO","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,1696,"ACTUAL",5
"108","2019-04-24T04:00:00-00:00","2019-04-24T05:00:00-00:00",0,"2019-04-23",22,0,"ACTUAL","IPCO","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,1634,"ACTUAL",5
"109","2019-04-24T01:00:00-00:00","2019-04-24T02:00:00-00:00",0,"2019-04-23",19,0,"ACTUAL","IPCO","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,1774,"ACTUAL",5
