,Export(MW)
2019-01-31 21,22386.75916666667
2019-01-31 22,21268.001666666667
2019-01-31 23,19433.367500000004
2019-02-01 00,20415.28916666667
2019-02-01 01,20155.62833333333
2019-02-01 02,19895.289166666666
2019-02-01 03,19711.533333333336
2019-02-01 04,20071.206666666665
2019-02-01 05,20462.130833333333
2019-02-01 06,20457.80083333333
2019-02-01 07,21074.911666666667
2019-02-01 08,21291.079999999998
2019-02-01 09,21762.4125
2019-02-01 10,21136.409166666665
2019-02-01 11,21017.019166666665
2019-02-01 12,20479.81166666667
2019-02-01 13,21023.204999999998
2019-02-01 14,21448.5675
2019-02-01 15,22142.156666666666
2019-02-01 16,22123.562500000004
2019-02-01 17,22112.656666666662
2019-02-01 18,22713.882500000003
2019-02-01 19,22216.381666666668
2019-02-01 20,21419.64833333333
2019-02-01 21,20170.912500000002
2019-02-01 22,20307.981666666667
2019-02-01 23,18653.26916666667
2019-02-02 00,19200.19833333333
2019-02-02 01,18790.9075
2019-02-02 02,18648.641666666666
2019-02-02 03,18336.99
2019-02-02 04,18595.748333333333
2019-02-02 05,19056.43666666667
2019-02-02 06,19058.6125
2019-02-02 07,20119.3675
2019-02-02 08,21042.773333333334
2019-02-02 09,20205.111666666668
2019-02-02 10,20767.095833333336
2019-02-02 11,20657.74583333333
2019-02-02 12,20708.0775
2019-02-02 13,20696.975833333334
2019-02-02 14,20424.361666666668
2019-02-02 15,20220.9575
2019-02-02 16,19624.03583333333
2019-02-02 17,20676.40833333333
2019-02-02 18,20834.0475
2019-02-02 19,20421.2225
2019-02-02 20,20572.6325
2019-02-02 21,19882.712499999998
2019-02-02 22,19909.865
2019-02-02 23,19255.914166666666
2019-02-03 00,17842.93
2019-02-03 01,17921.02666666667
2019-02-03 02,18028.227500000005
2019-02-03 03,18045.836666666666
2019-02-03 04,18335.60333333333
2019-02-03 05,18061.572500000002
2019-02-03 06,17675.664166666666
2019-02-03 07,18774.091666666664
2019-02-03 08,20080.5525
2019-02-03 09,20820.74416666667
2019-02-03 10,22193.934166666662
