name,PlantType,maxcap,mincap,opcost,minup,ramp,st_cost,var_om,fix_om,regcost,
431_G_H2,Hydro,78.1,0,0.026162317,0,78.1,0,0,14130,9999,
432_G_H1,Hydro,74.1,0,0.033914056,0,74.1,0,0,14130,9999,
433_G_1,Hydro,25.5,0,0.039065509,0,25.5,0,0,14130,9999,
435_G_H1,Hydro,108,0,0.022877541,0,108,0,0,14130,9999,
435_G_H2,Hydro,133,0,0.025837984,0,133,0,0,14130,9999,
435_G_H4,Hydro,0.5,0,0.048225766,0,0.5,0,0,14130,9999,
436_G_1,Hydro,57,0,0.032467642,0,57,0,0,14130,9999,
436_G_2,Hydro,57,0,0.040106733,0,57,0,0,14130,9999,
436_G_3,Hydro,74,0,0.015325975,0,74,0,0,14130,9999,
436_G_4,Hydro,74,0,0.040144203,0,74,0,0,14130,9999,
437_G_1,Hydro,135.3,0,0.049366709,0,135.3,0,0,14130,9999,
437_G_3,Hydro,135.3,0,0.045681416,0,135.3,0,0,14130,9999,
437_G_5,Hydro,135.3,0,0.040318011,0,135.3,0,0,14130,9999,
439_G_1,Hydro,55,0,0.009506544,0,55,0,0,14130,9999,
439_G_2,Hydro,55,0,0.047717494,0,55,0,0,14130,9999,
439_G_3,Hydro,55,0,0.042550025,0,55,0,0,14130,9999,
439_G_4,Hydro,38.2,0,0.001157005,0,38.2,0,0,14130,9999,
440_G_1,Hydro,1,0,0.029786572,0,1,0,0,14130,9999,
440_G_2,Hydro,3.3,0,0.011628497,0,3.3,0,0,14130,9999,
441_G_1,Hydro,71.7,0,0.029092083,0,71.7,0,0,14130,9999,
441_G_2,Hydro,71.7,0,0.001339554,0,71.7,0,0,14130,9999,
441_G_3,Hydro,71.7,0,0.037248677,0,71.7,0,0,14130,9999,
442_G_1,Hydro,88.7,0,0.001717956,0,88.7,0,0,14130,9999,
442_G_2,Hydro,88.7,0,0.017946123,0,88.7,0,0,14130,9999,
443_G_1,Hydro,39,0,0.047473175,0,39,0,0,14130,9999,
