"","INTERVALSTARTTIME_GMT","INTERVALENDTIME_GMT","SLRS_TYPE","OPR_DT","OPR_HR","OPR_INTERVAL","MARKET_RUN_ID","TAC_ZONE_NAME","SCHEDULE","XML_DATA_ITEM","POS","MW","GROUP"
"133","2019-09-09T23:15:00-00:00","2019-09-09T23:20:00-00:00","ALL","2019-09-09",17,4,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,22841.9,1
"134","2019-09-10T02:20:00-00:00","2019-09-10T02:25:00-00:00","ALL","2019-09-09",20,5,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,22977.75,1
"135","2019-09-10T02:55:00-00:00","2019-09-10T03:00:00-00:00","ALL","2019-09-09",20,12,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,23229.46,1
"136","2019-09-10T04:30:00-00:00","2019-09-10T04:35:00-00:00","ALL","2019-09-09",22,7,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,22128.13,1
"137","2019-09-10T04:35:00-00:00","2019-09-10T04:40:00-00:00","ALL","2019-09-09",22,8,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,22097.3,1
"138","2019-09-10T05:45:00-00:00","2019-09-10T05:50:00-00:00","ALL","2019-09-09",23,10,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,21523.01,1
"139","2019-09-10T06:00:00-00:00","2019-09-10T06:05:00-00:00","ALL","2019-09-09",24,1,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,20886.61,1
"140","2019-09-10T06:05:00-00:00","2019-09-10T06:10:00-00:00","ALL","2019-09-09",24,2,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,20848.51,1
"141","2019-09-09T08:05:00-00:00","2019-09-09T08:10:00-00:00","ALL","2019-09-09",2,2,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,19468.54,1
"142","2019-09-09T08:25:00-00:00","2019-09-09T08:30:00-00:00","ALL","2019-09-09",2,6,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,19411.07,1
